restaurant_id,name,price,phone,website,address,add_name,add_num
43,Domino's Pizza,,+1 312-288-8783,https://giordanos.com/location/navy-pier/,"700 E Grand Ave Navy Pier, Chicago, IL 60611",E GRAND AVE,700
44,Quiznos,,+1 312-670-8789,http://www.billygoattavern.com/,"700 E Grand Ave, Chicago, IL 60611",E GRAND AVE,700
45,Slurp Slurp,1,+1 312-527-9700,http://www.harrycarays.com/harry-carays-tavern-navy-pier.html,"700 E Grand Ave, Chicago, IL 60611-3436",E GRAND AVE,700
46,Little Caesars,,+1 312-525-3400,http://www.sophieschicago.com/?utm_source=TripAdvisor&utm_medium=TripAdvWebsite&utm_campaign=TA&utm_term=TA,"700 N Michigan Ave 7th Floor, Chicago, IL 60611-5017",N MICHIGAN AVE,700
47,The Bento Box,,12-922-4400,http://www.hilton.com/Official_Site/Chicago,"720 S Michigan Ave, Chicago, IL 60605-2116",S MICHIGAN AVE,720
48,Surfs Up,,,http://www3.hilton.com/en/hotels/illinois/hilton-chicago-CHICHHH/dining/index.html,"720 S Michigan Ave Hilton Chicago, Chicago, IL 60605-2116",S MICHIGAN AVE,720
49,Amigo Chino,,+1 312-694-4050,http://www.neimanmarcus.com/restaurants/chicago/il/mariposa/chicago%20-%20michigan%20avenue?geoLocation=&prev=,"737 N Michigan Ave Level Four, Chicago, IL 60611-2615",N MICHIGAN AVE,737
50,The Cousins,,+1 312-600-9094,https://restaurants.subway.com/united-states/il/chicago/780-n-milwaukee-ave?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=26036&utm_campaign=evergreen-2020&y_source=1_MTQ5MDYwMDItNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"780 N Milwaukee Ave, Chicago, IL 60622",N MILWAUKEE AVE,780
51,Peach's Restaurant,2,,,"806 W Webster Ave, Chicago, IL 60614-3627",W WEBSTER AVE,806
52,Soluri Brothers,,+1 312-329-2877,https://www.facebook.com/mbijoes/timeline?ref=page_internal,"820 N Lawndale Ave, Chicago, IL 60651-3943",N LAWNDALE AVE,820
53,Bottom Lounge,2,+1 773-649-9644,http://argotea.com,"871 N Wabash Ave, Chicago, IL 60611-2007",N WABASH AVE,871
54,Best Subs II,,+1 312-787-9596,http://www.signatureroom.com/,"875 N Michigan Ave 95th Floor, Chicago, IL 60611-1803",N MICHIGAN AVE,875
55,Jim's Original J Town,,+1 312-780-3110,https://www.benihana.com/locations/chicago-il-ch/,"875 N Michigan Ave John Hancock Center, Chicago, IL 60611-1803",N MICHIGAN AVE,875
56,Gaslight Bar & Grille,2,+1 312-922-1127,http://www.niubchicago.com/,"888 S Michigan Ave, Chicago, IL 60605-2117",S MICHIGAN AVE,888
57,Poitinstil,,,,"900 N Michigan Ave Ste LL2, Chicago, IL 60611-6552",N MICHIGAN AVE,900
58,John Barleycorn,2,+1 773-799-8868,http://www.bngrill.com,"921 W Belmont Ave, Chicago, IL 60657-4408",W BELMONT AVE,921
59,Giordano's,2,+1 773-772-0599,,"939 N Ashland Ave, Chicago, IL 60622-5120",N ASHLAND AVE,939
60,North Buena Deli,,+1 773-342-2909,,"939 N Western Ave Ste 1, Chicago, IL 60622-4731",N WESTERN AVE,939
61,The HoneyBaked Ham Company,,+1 773-883-6033,,"946 W Newport Ave, Chicago, IL 60657-2313",W NEWPORT AVE,946
62,Baskin-Robbins,,+1 773-472-5446,https://www.facebook.com/Hot-Diggity-Dogs-107194475967333/,"947 W Wellington Ave, Chicago, IL 60657-4421",W WELLINGTON AVE,947
63,Sushi Para M,2,+1 773-348-0010,http://kincadesbar.com/,"950 W Armitage Ave, Chicago, IL 60614-7419",W ARMITAGE AVE,950
64,Dino's Italian Pizza & Italian Restaurant,2,+1 773-348-7612,http://www.7-eleven.com/?yext=26265,"957 W Armitage Ave, Chicago, IL 60614-7227",W ARMITAGE AVE,957
65,Whadda Jerk Food Truck,,+1 773-904-7097,http://lemacaron-us.com/,"958 W Armitage Ave, Chicago, IL 60614-4222",W ARMITAGE AVE,958
66,El Corralito,,+1 773-252-8010,,"958 N Damen Ave, Chicago, IL 60622-4950",N DAMEN AVE,958
67,Rambutan,,+1 773-327-5266,http://www.jamnhoney.com,"958 W Webster Ave, Chicago, IL 60614-3643",W WEBSTER AVE,958
68,Chicago's Pizza,2,,,"1000 N Francisco Ave, Chicago, IL 60622-2749",N FRANCISCO AVE,1000
69,Smokin' Woody's Barbeque,2,+1 312-733-2700,http://www.terrystoffee.com,"1009 W Armitage Ave, Chicago, IL 60614",W ARMITAGE AVE,1009
70,Leona's Pizzeria - South Western Avenue,2,+1 312-666-8887,http://www.jasonswok.com/,"1014 S Western Ave Ste B, Chicago, IL 60612-4173",S WESTERN AVE,1014
71,Zebra Lounge,,+1 773-293-1040,,"1014 W Lawrence Ave, Chicago, IL 60640-5018",W LAWRENCE AVE,1014
72,Dessert Box,,+1 773-332-6217,http://www.3squaresdiner.com/,"1020 W Lawrence Ave, Chicago, IL 60640-5053",W LAWRENCE AVE,1020
73,Lucky Grill,1,+1 773-549-4904,https://nativefoods.com/locations/chicago/lakeview/,"1023 W Belmont Ave, Chicago, IL 60657",W BELMONT AVE,1023
74,Wok N Chop,2,+1 312-698-4481,http://www.tesfacuisine.com,"1023 W Wilson Ave, Chicago, IL 60640-5614",W WILSON AVE,1023
75,Honey Baked Ham and Cafe,,+1 773-880-0355,https://www.facebook.com/pages/Mr-Salsa/120347157982702,"1025 W Montrose Ave, Chicago, IL 60613-1317",W MONTROSE AVE,1025
76,Siri Indian Retaurant,2,+1 773-489-6666,http://www.super-submarine.com/,"1050 N Ashland Ave, Chicago, IL 60622-3932",N ASHLAND AVE,1050
77,Joker's Cajun Kitchen,,+1 773-388-8249,http://www.luckydorr.com/,"1101 W Waveland Ave, Chicago, IL 60613-3827",W WAVELAND AVE,1101
78,Westons Coffee & Tap Co.,1,+1 773-477-1500,http://www.deesrestaurant.com/,"1114 W Armitage Ave, Chicago, IL 60614-4133",W ARMITAGE AVE,1114
79,Starling,,+1 773-698-6263,https://restaurants.subway.com/united-states/il/chicago/1121-n-western-ave?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=7858&utm_campaign=evergreen-2020&y_source=1_MTQ4OTU4ODQtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"1121 N Western Ave, Chicago, IL 60622",N WESTERN AVE,1121
80,Tasty City,,+1 312-624-8363,http://113two.com/,"1132 W Grand Ave, Chicago, IL 60642-5801",W GRAND AVE,1132
81,La Bamba,,+1 312-243-4217,,"1133 S Western Ave, Chicago, IL 60612-4146",S WESTERN AVE,1133
82,Gorilla Sushi,,+1 773-278-2130,,"1140 N Ashland Ave, Chicago, IL 60622-3937",N ASHLAND AVE,1140
83,McDonald's,,+1 773-907-2200,http://www.jimmyjohns.com,"1148 W Wilson Ave, Chicago, IL 60640-5617",W WILSON AVE,1148
84,Sunshine Restaurant,,+1 312-624-8792,https://www.goodeatsgroup.com/charred-wing-bar,"1150 S Michigan Ave, Chicago, IL 60605",S MICHIGAN AVE,1150
85,Ferajna,,+1 773-528-7322,http://www.7-eleven.com/?yext=27125,"1153 W Belmont Ave, Chicago, IL 60657-3325",W BELMONT AVE,1153
86,Grand Chinese Kitchen Inc,,+1 312-877-5694,http://www.crazybirdchicken.com,"1160 W Grand Ave, Chicago, IL 60642-5837",W GRAND AVE,1160
87,Tony's Carryouts,,+1 312-600-5375,,"1217 W Devon Ave, Chicago, IL 60660-1403",W DEVON AVE,1217
88,Starbucks,,+1 773-799-8635,http://deli-flavor.business.site/,"1231 W Fullerton Ave Suite 7, Chicago, IL 60614-2102",W FULLERTON AVE,1231
89,Jess Cafe,2,+1 773-262-5216,,"1235 W Devon Ave, Chicago, IL 60660-1429",W DEVON AVE,1235
90,K-Kitchen,,+1 773-687-9933,https://www.facebook.com/GorillaSushiWP/,"1238 N Milwaukee Ave, Chicago, IL 60622-9142",N MILWAUKEE AVE,1238
91,Toppers Pizza,,,,"1241 N Clybourn Ave, Chicago, IL 60610-6655",N CLYBOURN AVE,1241
92,Dona Naty's Taco,,+1 773-227-0890,https://locations.dunkindonuts.com/en/il/chicago/1244-n-ashland-ave/308139?utm_source=yext&utm_medium=local&utm_campaign=localmaps&utm_content=308139,"1244 N Ashland Ave, Chicago, IL 60622",N ASHLAND AVE,1244
93,Dimo's Pizza,1,,http://www.alohawagon.com,"1247 S Western Ave, Chicago, IL 60608-1113",S WESTERN AVE,1247
94,JJ Fish & Chicken,,+1 312-427-5507,https://www.subway.com/en-US?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=24265&utm_campaign=evergreen-2020&y_source=1_MjA3MTcyOTktNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"1300 S Wabash Ave Suite 101, 1st Floor, Chicago, IL 60605",S WABASH AVE,1300
95,Briazz,,+1 312-922-0601,http://www.Nepalhouseonline.com,"1301 S Michigan Ave, Chicago, IL 60605-2601",S MICHIGAN AVE,1301
96,La Celia Latin Kitchen,,+1 773-274-5111,http://www.subway.com,"1313 W Touhy Ave, Chicago, IL 60626-2615",W TOUHY AVE,1313
97,Noon Hour Grill,1,,http://www.coalfirechicago.com,"1321 W Grand Ave, Chicago, IL 60642-6447",W GRAND AVE,1321
98,Chick-fil-A,,+1 773-661-1243,http://www.komorebisushi.com,"1324 N Milwaukee Ave, Chicago, IL 60622-9148",N MILWAUKEE AVE,1324
99,Brioche Doree,,+1 773-395-8826,http://www.7-eleven.com/?yext=33328,"1400 N Milwaukee Ave, Chicago, IL 60622-5066",N MILWAUKEE AVE,1400
100,Park & Field,2,+1 312-243-7988,http://ticketsus.at,"1400 S Western Ave, Chicago, IL 60608-1802",S WESTERN AVE,1400
101,Ali Baba,,+1 773-755-1234,https://www.potbelly.com/locations/illinois/webster-avenue,"1422 W. Webster Ave, Chicago, IL 60614",W. WEBSTER AVE,1422
102,Dunkin',,+1 773-472-1050,https://restaurants.subway.com/united-states/il/chicago/1427-montrose?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=22222&utm_campaign=evergreen-2020&y_source=1_MTQ5MTQzMDItNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"1427 W Montrose Ave (Montrose & Clark), Chicago, IL 60613",W MONTROSE AVE,1427
103,Two Restaurant & Bar,2,+1 773-772-1400,http://www.joeysSHRIMPhouse.com,"1432 N Western Ave, Chicago, IL 60622-8036",N WESTERN AVE,1432
104,Los Cantaritos Grill,,+1 312-255-7925,https://www.facebook.com/chicagocalavera/,"1438 W Chicago Ave, Chicago, IL 60642-5232",W CHICAGO AVE,1438
105,Luversia's Soul Food Diner,,+1 773-348-8868,,"1443 W Fullerton Ave, Chicago, IL 60614-2030",W FULLERTON AVE,1443
106,Cremeria La Ordena,,+1 773-334-9800,,"1463 W Leland Ave, Chicago, IL 60640-4627",W LELAND AVE,1463
107,Honky Tonk BBQ,2,+1 773-338-3285,,"1502 W Jarvis Ave, Chicago, IL 60626-1909",W JARVIS AVE,1502
108,Bangkok Star Restaurant,,+1 773-486-4195,,"1502 N Western Ave, Chicago, IL 60622-1746",N WESTERN AVE,1502
109,Terrace 16,4,+1 312-588-0230,http://www.weathermarktavern.com,"1503 S Michigan Ave, Chicago, IL 60605-3616",S MICHIGAN AVE,1503
110,Bella 'Mbriana,2,+1 773-561-2224,http://www.middleeastbakeryandgrocery.com/,"1512 W Foster Ave, Chicago, IL 60640-2112",W FOSTER AVE,1512
111,Subway,,+1 773-274-7788,,"1515 W Devon Ave, Chicago, IL 60660-1313",W DEVON AVE,1515
112,Ohana Ice & Treats,,,http://www.elmaya.us,"1522 W Montrose Ave, Chicago, IL 60613-1212",W MONTROSE AVE,1522
113,Dante's Pizzeria,,+1 773-862-1540,,"1540 W North Ave, Chicago, IL 60642-2430",W NORTH AVE,1540
114,Vol. 39,2,+1 773-743-9900,http://www.mariassubandpizza.com/,"1559 W Devon Ave, Chicago, IL 60660-1313",W DEVON AVE,1559
115,Cafe Habibi,2,+1 773-687-8445,http://www.furiousramen.com,"1571 N Milwaukee Ave, Chicago, IL 60622-2009",N MILWAUKEE AVE,1571
116,Munchyz Inc,,+1 312-397-7777,,"1599 N Clybourn Ave, Chicago, IL 60642-2521",N CLYBOURN AVE,1599
117,CDA,4,+1 773-342-5000,http://thehatchicago.com/,"1604 W North Ave, Chicago, IL 60622-2245",W NORTH AVE,1604
118,Taqueria El Milagro,1,+1 773-327-9200,https://www.facebook.com/crushedpizzeria/,"1607 W Montrose Ave, Chicago, IL 60613-1213",W MONTROSE AVE,1607
119,Tasty Place,1,+1 773-770-3599,http://tarboushgrill.com,"1608 W North Ave, Chicago, IL 60622-2245",W NORTH AVE,1608
120,Vermilion,2,+1 773-278-8774,,"1610 W North Ave, Chicago, IL 60622-2245",W NORTH AVE,1610
121,Subway,,+1 773-252-6828,http://www.sushiparachicago.com/,"1633 N Milwaukee Ave, Chicago, IL 60647-5411",N MILWAUKEE AVE,1633
122,TK's on Wells,,+1 773-235-9464,http://www.wingstop.com/,"1637 N Milwaukee Ave, Chicago, IL 60647-5411",N MILWAUKEE AVE,1637
123,CHARRED | Wing Bar,,+1 312-243-0310,,"1642 W Chicago Ave, Chicago, IL 60622-5128",W CHICAGO AVE,1642
124,Slugger's World Class Sports Bar,1,+1 773-275-5237,,"1659 W Foster Ave # 4, Chicago, IL 60640-2065",W FOSTER AVE,1659
125,Jakes Pup In the Ruf,,+1 773-384-0035,http://www.newlifecafe.org,"1664 N California Ave, Chicago, IL 60647-5102",N CALIFORNIA AVE,1664
126,Same Day Cafe,,,,"1676 W Ogden Ave, Chicago, IL 60612-3234",W OGDEN AVE,1676
127,Quesadilla's,,+1 312-666-4317,,"1701 W Chicago Ave, Chicago, IL 60622-5009",W CHICAGO AVE,1701
128,Dulceria Los Antojitos,,+1 773-944-5444,http://www.fatchrispizza.com,"1706 W Foster Ave, Chicago, IL 60640-2016",W FOSTER AVE,1706
129,Tiny Taqueria Chicago,,+1 773-360-1793,http://www.thedeltachicago.com,"1745 W North Ave On North Avenue and Wood Street, Chicago, IL 60622-2331",W NORTH AVE,1745
130,Reggies,2,+1 773-889-3549,http://www.dominospastries.com/,"1745 N Harlem Ave, Chicago, IL 60707-4305",N HARLEM AVE,1745
131,Manny's Cafeteria & Delicatessen,2,+1 773-989-1986,http://www.7-eleven.com/?yext=22365,"1750 W Foster Ave, Chicago, IL 60640-2016",W FOSTER AVE,1750
132,Hot Diggity Dogs - CLOSED,,+1 312-666-7229,,"1757 W Chicago Ave, Chicago, IL 60622-5009",W CHICAGO AVE,1757
133,Pete's Place,,+1 312-915-0071,http://www.gooseisland.com/brewhouse-clybourn/,"1800 N Clybourn Ave, Chicago, IL 60614-4939",N CLYBOURN AVE,1800
134,Subway,,+1 312-966-6001,http://www.facebook.com/Teapotbrew-Bakery-328408821255478/,"1802 S Wabash Ave, Chicago, IL 60616, Chicago, IL 60616-1615",S WABASH AVE,1802
135,Arby's,,+1 773-334-6030,,"1810 W Montrose Ave, Chicago, IL 60613-1008",W MONTROSE AVE,1810
136,Aroma Cafe,,+1 312-243-2209,,"1815 W Chicago Ave, Chicago, IL 60622-5513",W CHICAGO AVE,1815
137,Stackerz Burgers and More. Jefferson Park,,+1 773-292-0304,https://www.chick-fil-a.com/bucktownil,"1910 W Fullerton Ave, Chicago, IL 60614",W FULLERTON AVE,1910
138,D' Cuba Restaurant,,+1 773-270-5127,http://www.dunkindonuts.com,"1938 W North Ave, Chicago, IL 60622",W NORTH AVE,1938
139,White Castle,,+1 773-489-6457,,"1951 W Dickens Ave, Chicago, IL 60614-3934",W DICKENS AVE,1951
140,Chilam Balam,2,+1 773-394-7373,http://www.chicagobluefinsushibar.com/,"1952 W North Ave, Chicago, IL 60622-1318",W NORTH AVE,1952
141,Wendy's,,+1 312-243-6343,http://www.trattoriaultimo.com,"1953 W Chicago Ave, Chicago, IL 60622-5541",W CHICAGO AVE,1953
142,Subway,,,,"1964 W Lawrence Ave, Chicago, IL 60640-4010",W LAWRENCE AVE,1964
143,Jin Thai,2,+1 312-842-9880,http://www.ekit.us/restaurantviewpage/yummy-yummy-noodles-chicago-60616,"2002 S Wentworth Ave Lowr LVL, Chicago, IL 60616-2024",S WENTWORTH AVE,2002
144,Deli Flavor,2,+1 773-394-6900,https://www.mypiepizza.com/?y_source=1_MTQ3OTc5OTMtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"2010 N Damen Ave Unit E, Chicago, IL 60647",N DAMEN AVE,2010
145,Popeyes Chicken,,+1 773-782-0450,http://estelleschicago.com/,"2013 W North Ave, Chicago, IL 60647-5413",W NORTH AVE,2013
146,Pizza4U,,+1 312-225-8282,,"2022 S Archer Ave, Chicago, IL 60616-1589",S ARCHER AVE,2022
147,Phil's Kastle,,+1 773-376-3959,,"2023 S Western Ave, Chicago, IL 60608-2504",S WESTERN AVE,2023
148,Robinson's Ribs,,+1 773-927-8290,,"2024 S California Ave, Chicago, IL 60608-2406",S CALIFORNIA AVE,2024
149,Little Caesars,,,http://trenchbar.com/,"2039 W North Ave, Chicago, IL 60647-6380",W NORTH AVE,2039
150,Chicago BBQ Chicken,,+1 773-235-5538,http://www.lasasadasrestaurant.com,"2045 N Western Ave, Chicago, IL 60647-4167",N WESTERN AVE,2045
151,Subway,,+1 773-235-3072,http://chicagofalafel.com/,"2057 W North Ave, Chicago, IL 60647-6758",W NORTH AVE,2057
152,Estelle's Cafe & Pub,1,+1 773-404-3475,http://www.dirksfish.com,"2070 N Clybourn Ave Ste B1, Chicago, IL 60614-4062",N CLYBOURN AVE,2070
153,Diver At The Park Restaurant,,+1 312-674-9688,,"2109 S Wabash Ave Ste G, Chicago, IL 60616-5401",S WABASH AVE,2109
154,Ciampanelli Mike L,,+1 773-661-1599,https://www.brothersandsisters.fun/,"2119 W Chicago Ave, Chicago, IL 60622-4823",W CHICAGO AVE,2119
155,Dunkin',,,,"2136 W North Ave, Chicago, IL 60647-9545",W NORTH AVE,2136
156,Super Submarine,,+1 312-881-0168,https://www.mccbchicago.com/,"2138 S Archer Ave, Chicago, IL 60616-1514",S ARCHER AVE,2138
157,MrBeast Burger,,+1 312-881-0168,,"2138 S Archer Ave, Chicago, IL 60616-1514",S ARCHER AVE,2138
158,Lake Shore Cafe,2,+1 312-808-9538,http://www.chicagohingkee.com,"2140 S Archer Ave, Chicago, IL 60616-1514",S ARCHER AVE,2140
159,Big Dolphin,,+1 773-475-7520,https://www.facebook.com/vistahermosaexpress2/,"2147 S California Ave, Chicago, IL 60608-3501",S CALIFORNIA AVE,2147
160,JJ's Fish & Chicken,,+1 773-292-0070,,"2165 N Western Ave, Chicago, IL 60647-4146",N WESTERN AVE,2165
161,Reno,2,+1 312-225-0600,http://www.littlelambchicago.com,"2201 S Wentworth Ave, Chicago, IL 60616-2011",S WENTWORTH AVE,2201
162,Villa Rosa Pizza & Pasta,2,+1 773-227-5800,http://www.drbowl.com/,"2211 W Diversey Ave, Chicago, IL 60647-5900",W DIVERSEY AVE,2211
163,Seafood Junction,,+1 312-808-1322,https://www.mayflowerchinesechicago.com/,"2225 S Wentworth Ave, Chicago, IL 60616-2011",S WENTWORTH AVE,2225
164,Nesh Mediterranean Grill,2,+1 773-254-3663,,"2230 S Ashland Ave, Chicago, IL 60608-5302",S ASHLAND AVE,2230
165,Morton's The Steakhouse,4,+1 312-929-2758,http://www.daguannoodle.com,"2230 S Wentworth Ave, Chicago, IL 60616-2016",S WENTWORTH AVE,2230
166,True Food Kitchen,2,+1 773-665-7232,https://www.dominos.com/en/?redirect=homepage&utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps,"2231 N Lincoln Ave, Chicago, IL 60614-3717",N LINCOLN AVE,2231
167,Guapo Taco,,+1 312-285-9988,http://www.thechicagohalal.com,"2233 N Lincoln Ave, Chicago, IL 60614-6202",N LINCOLN AVE,2233
